PROD_EST,COBERTURA,ANIO,ID_MES,MARCA,MODELO,TIPO,SEGMENTO,ORIGEN,ID_PAIS_ORIGEN,UNI_VEH,TIPO_VEHICULO
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Acura,ILX,Autom�viles,De Lujo,IMPORTADO,66,6,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Acura,Mdx,Camiones ligeros,SUV's,IMPORTADO,66,19,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Acura,Rdx,Camiones ligeros,SUV's,IMPORTADO,66,78,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Acura,TLX,Autom�viles,De Lujo,IMPORTADO,66,7,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Autom�viles,Deportivos,IMPORTADO,124,6,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Autom�viles,Deportivos,IMPORTADO,124,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Alfa Romeo,Giulia,Autom�viles,De Lujo,IMPORTADO,124,4,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Alfa Romeo,Stelvio,Autom�viles,De Lujo,IMPORTADO,124,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Alfa Romeo,4C,Autom�viles,De Lujo,IMPORTADO,124,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A1*,Autom�viles,De Lujo,IMPORTADO,64,136,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A3,Autom�viles,De Lujo,IMPORTADO,31,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A3-,Autom�viles,De Lujo,IMPORTADO,4,212,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A4,Autom�viles,De Lujo,IMPORTADO,4,60,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A5,Autom�viles,De Lujo,IMPORTADO,4,34,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A6,Autom�viles,De Lujo,IMPORTADO,4,24,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A7,Autom�viles,De Lujo,IMPORTADO,4,19,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,A8,Autom�viles,De Lujo,IMPORTADO,4,2,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,e-tron,Camiones ligeros,SUV's,IMPORTADO,23,6,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,Q2,Autom�viles,De Lujo,IMPORTADO,62,169,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,Q5,Camiones ligeros,SUV's,NACIONAL,1,172,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,Q7-,Camiones ligeros,SUV's,IMPORTADO,62,10,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,Q8,Camiones ligeros,SUV's,IMPORTADO,4,52,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Audi,R8,Autom�viles,De Lujo,IMPORTADO,4,8,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Bentley,Bentayga,Autom�viles,De Lujo,IMPORTADO,181,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Bentley,Continental,Autom�viles,De Lujo,IMPORTADO,181,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Bentley,Flying Spur,Autom�viles,De Lujo,IMPORTADO,181,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,Bentley,Mulsanne,Autom�viles,De Lujo,IMPORTADO,181,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,i3,Autom�viles,De Lujo,IMPORTADO,4,12,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,i8,Autom�viles,Deportivos,IMPORTADO,4,6,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 1 Hatch,Autom�viles,De Lujo,IMPORTADO,4,122,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 2,Autom�viles,De Lujo,IMPORTADO,4,106,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 3,Autom�viles,De Lujo,IMPORTADO,4,208,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 3-,Autom�viles,De Lujo,NACIONAL,1,35,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 4,Autom�viles,De Lujo,IMPORTADO,4,32,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 5,Autom�viles,De Lujo,IMPORTADO,4,29,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 6,Autom�viles,De Lujo,IMPORTADO,4,0,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 7,Autom�viles,De Lujo,IMPORTADO,4,11,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,Serie 8,Autom�viles,De Lujo,IMPORTADO,4,4,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,X1,Camiones ligeros,SUV's,IMPORTADO,4,189,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,X2,Camiones ligeros,SUV's,IMPORTADO,4,92,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,X3,Camiones ligeros,SUV's,IMPORTADO,66,139,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,X4,Camiones ligeros,SUV's,IMPORTADO,66,127,
Registro Administrativo de la Industria Automotriz de Vehículos Ligeros. Venta de vehículos ,Nacional,2020,01,BMW,X5,Camiones ligeros,SUV's,IMPORTADO,66,113,
