Tema,Año,Mes,Marca,Modelo,Tipo,Segmento,Origen,PaísOrigen,Cantidad,TipoVehiculo,DescMotor
Venta al público de vehículos,2020,Enero,Acura,ILX,Automóviles,De Lujo,Importado,Estados Unidos,  6,,
Venta al público de vehículos,2020,Enero,Acura,Mdx,Camiones ligeros,SUV's,Importado,Estados Unidos,  19,,
Venta al público de vehículos,2020,Enero,Acura,Rdx,Camiones ligeros,SUV's,Importado,Estados Unidos,  78,,
Venta al público de vehículos,2020,Enero,Acura,TLX,Automóviles,De Lujo,Importado,Estados Unidos,  7,,
Venta al público de vehículos,2020,Enero,Alfa Romeo,4C,Automóviles,De Lujo,Importado,Italia,-,,
Venta al público de vehículos,2020,Enero,Alfa Romeo,Alfa Romeo Giulietta Progression Manual,Automóviles,Deportivos,Importado,Italia,  6,,
Venta al público de vehículos,2020,Enero,Alfa Romeo,Alfa Romeo Mito Quadrifoglio Verde Manual,Automóviles,Deportivos,Importado,Italia,-,,
Venta al público de vehículos,2020,Enero,Alfa Romeo,Giulia,Automóviles,De Lujo,Importado,Italia,  4,,
Venta al público de vehículos,2020,Enero,Alfa Romeo,Stelvio,Automóviles,De Lujo,Importado,Italia,-,,
Venta al público de vehículos,2020,Enero,Audi,A3,Automóviles,De Lujo,Importado,Brasil,-,,
Venta al público de vehículos,2020,Enero,Audi,A4,Automóviles,De Lujo,Importado,Alemania,  60,,
Venta al público de vehículos,2020,Enero,Audi,A5,Automóviles,De Lujo,Importado,Alemania,  34,,
Venta al público de vehículos,2020,Enero,Audi,A6,Automóviles,De Lujo,Importado,Alemania,  24,,
Venta al público de vehículos,2020,Enero,Audi,A7,Automóviles,De Lujo,Importado,Alemania,  19,,
Venta al público de vehículos,2020,Enero,Audi,A8,Automóviles,De Lujo,Importado,Alemania,  2,,
Venta al público de vehículos,2020,Enero,Audi,Q2,Automóviles,De Lujo,Importado,Eslovaquia,  169,,
Venta al público de vehículos,2020,Enero,Audi,Q5,Camiones ligeros,SUV's,Nacional,México,  172,,
Venta al público de vehículos,2020,Enero,Audi,R8,Automóviles,De Lujo,Importado,Alemania,  8,,
Venta al público de vehículos,2020,Enero,Audi,A3-,Automóviles,De Lujo,Importado,Alemania,  212,,
Venta al público de vehículos,2020,Enero,Audi,Q7-,Camiones ligeros,SUV's,Importado,Eslovaquia,  10,,
Venta al público de vehículos,2020,Enero,Audi,Q8,Camiones ligeros,SUV's,Importado,Alemania,  52,,
Venta al público de vehículos,2020,Enero,Audi,e-tron,Camiones ligeros,SUV's,Importado,Bélgica,  6,,
Venta al público de vehículos,2020,Enero,Audi,A1*,Automóviles,De Lujo,Importado,España,  136,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC BJ20,Camiones ligeros,SUV's,Nacional,México,  5,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC BJ40,Camiones ligeros,SUV's,Importado,China,  8,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC D20,Automóviles,Subcompactos,Nacional,México,  78,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC X25,Automóviles,Subcompactos,Nacional,México,  88,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC X35,Camiones ligeros,SUV's,Importado,No Especificado,  10,,
Venta al público de vehículos,2020,Enero,MOTORNATION,BAIC X30,Camiones ligeros,SUV's,Importado,China,  16,,
Venta al público de vehículos,2020,Enero,MOTORNATION,JMC VIGUS,Camiones ligeros,Pick Ups,Importado,China,  4,,
Venta al público de vehículos,2020,Enero,Bentley,Bentayga,Automóviles,De Lujo,Importado,Reino Unido,  0,,
Venta al público de vehículos,2020,Enero,Bentley,Continental,Automóviles,De Lujo,Importado,Reino Unido,  0,,
Venta al público de vehículos,2020,Enero,Bentley,Flying Spur,Automóviles,De Lujo,Importado,Reino Unido,  0,,
Venta al público de vehículos,2020,Enero,Bentley,Mulsanne,Automóviles,De Lujo,Importado,Reino Unido,  0,,
Venta al público de vehículos,2020,Enero,BMW,i3,Automóviles,De Lujo,Importado,Alemania,  12,,
Venta al público de vehículos,2020,Enero,BMW,i8,Automóviles,Deportivos,Importado,Alemania,  6,,
Venta al público de vehículos,2020,Enero,BMW,Serie 1 Hatch,Automóviles,De Lujo,Importado,Alemania,  122,,
Venta al público de vehículos,2020,Enero,BMW,Serie 2,Automóviles,De Lujo,Importado,Alemania,  106,,
Venta al público de vehículos,2020,Enero,BMW,Serie 3,Automóviles,De Lujo,Importado,Alemania,  208,,
Venta al público de vehículos,2020,Enero,BMW,Serie 4,Automóviles,De Lujo,Importado,Alemania,  32,,
Venta al público de vehículos,2020,Enero,BMW,Serie 5,Automóviles,De Lujo,Importado,Alemania,  29,,
Venta al público de vehículos,2020,Enero,BMW,Serie 6,Automóviles,De Lujo,Importado,Alemania,-,,
Venta al público de vehículos,2020,Enero,BMW,Serie 7,Automóviles,De Lujo,Importado,Alemania,  11,,
Venta al público de vehículos,2020,Enero,BMW,X1,Camiones ligeros,SUV's,Importado,Alemania,  189,,
Venta al público de vehículos,2020,Enero,BMW,X2,Camiones ligeros,SUV's,Importado,Alemania,  92,,
Venta al público de vehículos,2020,Enero,BMW,X3,Camiones ligeros,SUV's,Importado,Estados Unidos,  139,,
Venta al público de vehículos,2020,Enero,BMW,X4,Camiones ligeros,SUV's,Importado,Estados Unidos,  127,,
Venta al público de vehículos,2020,Enero,BMW,X5,Camiones ligeros,SUV's,Importado,Estados Unidos,  113,,
Venta al público de vehículos,2020,Enero,BMW,X6,Camiones ligeros,SUV's,Importado,Estados Unidos,  60,,
Venta al público de vehículos,2020,Enero,BMW,Z4-,Automóviles,De Lujo,Importado,Alemania,  33,,
Venta al público de vehículos,2020,Enero,BMW,Serie 8,Automóviles,De Lujo,Importado,Alemania,  4,,
Venta al público de vehículos,2020,Enero,BMW,Serie 3-,Automóviles,De Lujo,Nacional,México,  35,,
Venta al público de vehículos,2020,Enero,BMW,X7,Camiones ligeros,SUV's,Importado,Estados Unidos,  19,,
Venta al público de vehículos,2020,Enero,Chrysler,Attitude,Automóviles,Subcompactos,Importado,Tailandia,  816,,
Venta al público de vehículos,2020,Enero,Chrysler,Challenger,Automóviles,Deportivos,Importado,Canadá,  36,,
Venta al público de vehículos,2020,Enero,Chrysler,Charger,Automóviles,De Lujo,Importado,Canadá,  8,,
Venta al público de vehículos,2020,Enero,Chrysler,Cherokee,Camiones ligeros,SUV's,Importado,Estados Unidos,  23,,
Venta al público de vehículos,2020,Enero,Chrysler,Chrysler 200,Automóviles,De Lujo,Importado,Estados Unidos,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Chrysler 300,Automóviles,De Lujo,Importado,Canadá,-,,
Venta al público de vehículos,2020,Enero,Chrysler,CHRYSLER 300C,Automóviles,De Lujo,Importado,Canadá,  1,,
Venta al público de vehículos,2020,Enero,Chrysler,Chrysler Pacifica,Camiones ligeros,Minivans,Importado,Canadá,  50,,
Venta al público de vehículos,2020,Enero,Chrysler,Crew Cab-,Camiones ligeros,Pick Ups,Nacional,México,  428,,
Venta al público de vehículos,2020,Enero,Chrysler,Dodge Neon,Automóviles,Compactos,Importado,Turquía,  174,,
Venta al público de vehículos,2020,Enero,Chrysler,Durango,Camiones ligeros,SUV's,Importado,Estados Unidos,  24,,
Venta al público de vehículos,2020,Enero,Chrysler,Grand Caravan,Camiones ligeros,Minivans,Importado,Canadá,  40,,
Venta al público de vehículos,2020,Enero,Chrysler,Grand Cherokee,Camiones ligeros,SUV's,Importado,Estados Unidos,  214,,
Venta al público de vehículos,2020,Enero,Chrysler,Jeep Compass,Camiones ligeros,SUV's,Importado,Estados Unidos,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Jeep Compass-,Camiones ligeros,SUV's,Nacional,México,  162,,
Venta al público de vehículos,2020,Enero,Chrysler,Journey,Camiones ligeros,SUV's,Nacional,México,  164,,
Venta al público de vehículos,2020,Enero,Chrysler,Patriot,Camiones ligeros,SUV's,Importado,Estados Unidos,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Promaster,Camiones ligeros,SUV's,Nacional,México,  34,,
Venta al público de vehículos,2020,Enero,Chrysler,Promaster Rapid,Camiones ligeros,Pick Ups,Importado,Brasil,  378,,
Venta al público de vehículos,2020,Enero,Chrysler,RAM 1500-,Camiones ligeros,Pick Ups,Nacional,México,  68,,
Venta al público de vehículos,2020,Enero,Chrysler,RAM 2500-,Camiones ligeros,Pick Ups,Nacional,México,  34,,
Venta al público de vehículos,2020,Enero,Chrysler,RAM 4000,Camiones ligeros,Pick Ups,Nacional,México,  253,,
Venta al público de vehículos,2020,Enero,Chrysler,RAM 4000 Diesel,Camiones ligeros,Pick Ups,Nacional,México,-,,
Venta al público de vehículos,2020,Enero,Chrysler,RAM 700,Camiones ligeros,Pick Ups,Importado,Brasil,  627,,
Venta al público de vehículos,2020,Enero,Chrysler,Renegade,Camiones ligeros,SUV's,Importado,Brasil,  189,,
Venta al público de vehículos,2020,Enero,Chrysler,Viper,Automóviles,Deportivos,Importado,Estados Unidos,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Vision,Automóviles,Subcompactos,Importado,Brasil,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Voyager Town&Country LTD,Camiones ligeros,Minivans,Importado,Canadá,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Voyager Town&Country LX,Camiones ligeros,Minivans,Importado,Canadá,-,,
Venta al público de vehículos,2020,Enero,Chrysler,Wrangler,Camiones ligeros,SUV's,Importado,Estados Unidos,  292,,
Venta al público de vehículos,2020,Enero,Chrysler,JT ,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  48,,
Venta al público de vehículos,2020,Enero,Fiat,124 Spider,Automóviles,De Lujo,Importado,Japón,-,,
Venta al público de vehículos,2020,Enero,Fiat,500L,Automóviles,Compactos,Importado,Serbia,  4,,
Venta al público de vehículos,2020,Enero,Fiat,500X,Automóviles,Deportivos,Importado,Italia,-,,
Venta al público de vehículos,2020,Enero,Fiat,Ducato,Camiones ligeros,Pick Ups,Importado,Italia,  28,,
Venta al público de vehículos,2020,Enero,Fiat,Fiat 500,Automóviles,Subcompactos,Importado,Italia,-,,
Venta al público de vehículos,2020,Enero,Fiat,Fiat 500-,Automóviles,Subcompactos,Nacional,México,  3,,
Venta al público de vehículos,2020,Enero,Fiat,Mobi,Automóviles,Subcompactos,Importado,Brasil,  294,,
Venta al público de vehículos,2020,Enero,Fiat,Nuevo Palio,Automóviles,Compactos,Importado,Brasil,-,,
Venta al público de vehículos,2020,Enero,Fiat,Palio Adventure,Automóviles,Subcompactos,Importado,Brasil,  67,,
Venta al público de vehículos,2020,Enero,Fiat,Uno,Automóviles,Subcompactos,Importado,Brasil,  218,,
Venta al público de vehículos,2020,Enero,Fiat,Argo,Automóviles,Subcompactos,Importado,Brasil,  2,,
Venta al público de vehículos,2020,Enero,Ford Motor,Crown Victoria / Police Interceptor,Automóviles,De Lujo,Importado,Canadá,  1,,
Venta al público de vehículos,2020,Enero,Ford Motor,Ecosport,Camiones ligeros,SUV's,Importado,Brasil,  327,,
Venta al público de vehículos,2020,Enero,Ford Motor,Edge,Camiones ligeros,SUV's,Importado,Canadá,  53,,
Venta al público de vehículos,2020,Enero,Ford Motor,Escape,Camiones ligeros,SUV's,Importado,Estados Unidos,  195,,
Venta al público de vehículos,2020,Enero,Ford Motor,Expedition,Camiones ligeros,Minivans,Importado,Estados Unidos,  76,,
Venta al público de vehículos,2020,Enero,Ford Motor,Explorer,Camiones ligeros,SUV's,Importado,Estados Unidos,  64,,
Venta al público de vehículos,2020,Enero,Ford Motor,F 250 Super Duty,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  3,,
Venta al público de vehículos,2020,Enero,Ford Motor,F-350,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  235,,
Venta al público de vehículos,2020,Enero,Ford Motor,F-450,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  75,,
Venta al público de vehículos,2020,Enero,Ford Motor,F450 Diesel,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  5,,
Venta al público de vehículos,2020,Enero,Ford Motor,F-550,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  28,,
Venta al público de vehículos,2020,Enero,Ford Motor,F550 Diesel,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  2,,
Venta al público de vehículos,2020,Enero,Ford Motor,Figo Sedan,Automóviles,Subcompactos,Importado,India, 1 132,,
Venta al público de vehículos,2020,Enero,Ford Motor,Focus Sedan,Automóviles,Compactos,Importado,España,-,,
Venta al público de vehículos,2020,Enero,Ford Motor,Fusion,Automóviles,Compactos,Nacional,México,  24,,
Venta al público de vehículos,2020,Enero,Ford Motor,Fusion Hibrido,Automóviles,Compactos,Nacional,México,  4,,
Venta al público de vehículos,2020,Enero,Ford Motor,Lobo Crew Cab,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  297,,
Venta al público de vehículos,2020,Enero,Ford Motor,Lobo Regular Cab,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  11,,
Venta al público de vehículos,2020,Enero,Ford Motor,Mustang,Automóviles,Deportivos,Importado,Estados Unidos,  95,,
Venta al público de vehículos,2020,Enero,Ford Motor,New F150 / F-150,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  226,,
Venta al público de vehículos,2020,Enero,Ford Motor,Ranger Crew Cab,Camiones ligeros,Pick Ups,Importado,Argentina,  634,,
Venta al público de vehículos,2020,Enero,Ford Motor,Transit,Camiones ligeros,SUV's,Importado,Reino Unido,  585,,
Venta al público de vehículos,2020,Enero,Ford Motor,Escape HEV,Camiones ligeros,SUV's,Importado,Estados Unidos,  100,,
Venta al público de vehículos,2020,Enero,General Motors,Acadia,Camiones ligeros,SUV's,Importado,Estados Unidos,  47,,
Venta al público de vehículos,2020,Enero,General Motors,Ats 4p,Automóviles,De Lujo,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Avalanche UUV,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Aveo,Automóviles,Subcompactos,Importado,China, 5 133,,
Venta al público de vehículos,2020,Enero,General Motors,Aveo-,Automóviles,Subcompactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Beat,Automóviles,Subcompactos,Importado,India, 1 850,,
Venta al público de vehículos,2020,Enero,General Motors,Beat 4 PTAS.,Automóviles,Subcompactos,Importado,India, 4 580,,
Venta al público de vehículos,2020,Enero,General Motors,Bolt,Automóviles,Subcompactos,Importado,Estados Unidos,  5,,
Venta al público de vehículos,2020,Enero,General Motors,Camaro,Automóviles,Deportivos,Importado,Estados Unidos,  8,,
Venta al público de vehículos,2020,Enero,General Motors,Camaro Convertible,Automóviles,De Lujo,Importado,Estados Unidos,  1,,
Venta al público de vehículos,2020,Enero,General Motors,Captiva Sport,Camiones ligeros,SUV's,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cavalier 4 Ptas,Automóviles,Compactos,Importado,China,  706,,
Venta al público de vehículos,2020,Enero,General Motors,Chevrolet Express Cargo Van,Camiones ligeros,Minivans,Importado,Estados Unidos,  12,,
Venta al público de vehículos,2020,Enero,General Motors,Chevrolet Express Cutaway,Camiones ligeros,Minivans,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Chevrolet Express Passenger Van,Camiones ligeros,Minivans,Importado,Estados Unidos,  10,,
Venta al público de vehículos,2020,Enero,General Motors,Chevy 3 Ptas,Automóviles,Subcompactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Chevy 4 PTAS,Automóviles,Subcompactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Colorado Doble Cabina,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  88,,
Venta al público de vehículos,2020,Enero,General Motors,Corvette,Automóviles,Deportivos,Importado,Estados Unidos,  4,,
Venta al público de vehículos,2020,Enero,General Motors,Corvette 2  Pts. Convertible,Automóviles,De Lujo,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cruze 4 Ptas,Automóviles,Compactos,Importado,Corea del Sur,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cruze 4 PTAS-,Automóviles,Compactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cruze 5 Ptas,Automóviles,Compactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cts 2 Ptas,Automóviles,De Lujo,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Cts 4 Ptas,Automóviles,De Lujo,Importado,Estados Unidos,  1,,
Venta al público de vehículos,2020,Enero,General Motors,Enclave,Camiones ligeros,SUV's,Importado,Estados Unidos,  40,,
Venta al público de vehículos,2020,Enero,General Motors,Encore,Camiones ligeros,SUV's,Importado,Corea del Sur,  129,,
Venta al público de vehículos,2020,Enero,General Motors,Envision SUV,Camiones ligeros,SUV's,Importado,China,  16,,
Venta al público de vehículos,2020,Enero,General Motors,Epica,Automóviles,Compactos,Importado,Corea del Sur,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Equinox Suv,Camiones ligeros,SUV's,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Equinox SUV-,Camiones ligeros,SUV's,Nacional,México,  109,,
Venta al público de vehículos,2020,Enero,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Escalade ESV SUV AWD,Camiones ligeros,Minivans,Importado,Estados Unidos,  6,,
Venta al público de vehículos,2020,Enero,General Motors,Escalade EXT UUV 4X4,Camiones ligeros,Minivans,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Escalade Suv,Camiones ligeros,Minivans,Importado,Estados Unidos,  1,,
Venta al público de vehículos,2020,Enero,General Motors,GMC Sierra Cabina Regular,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,GMC Sierra Doble Cabina,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,"Kodiak Chassis Cab Class 7 PBV33,000",Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Lacrosse,Automóviles,De Lujo,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Malibu 4 Ptas,Automóviles,Compactos,Importado,Estados Unidos,  2,,
Venta al público de vehículos,2020,Enero,General Motors,Matiz 5 Ptas,Automóviles,Subcompactos,Importado,Corea del Sur,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Regal,Automóviles,De Lujo,Importado,Canadá,  0,,
Venta al público de vehículos,2020,Enero,General Motors,S10,Camiones ligeros,Pick Ups,Importado,Brasil,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 1500 Cabina Regular,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 1500 Cabina Regular-,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 2500 Cabina Extendida,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 2500 Cabina Regular,Camiones ligeros,Pick Ups,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 2500 Cabina Regular-,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 2500 Doble Cabina-,Camiones ligeros,Pick Ups,Nacional,México,  1,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 3500 Chassis Cab,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Silverado 3500 HD Chassis Cab Heavy Duty,Camiones ligeros,Pick Ups,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Sonic-,Automóviles,Subcompactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Sonic 5 PTS,Automóviles,Subcompactos,Importado,Estados Unidos,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Sonic 5 PTS-,Automóviles,Subcompactos,Nacional,México,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Spark,Automóviles,Subcompactos,Importado,India,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Spark EV 5 Ptas.,Automóviles,Subcompactos,Importado,Corea del Sur,  0,,
Venta al público de vehículos,2020,Enero,General Motors,Spark NG,Automóviles,Subcompactos,Importado,Corea del Sur,  739,,
